date,city,latitude,longitude,pm25,aqi,aqi_category,pm10,o3,no2,so2,co,temperature,humidity,wind_speed,year,month,day,hour,day_of_week,season,is_weekend
2020-02-09,Dover,39.1582,-75.5244,14.3,61,Moderate,30.77,44.25,21.46,5.0,0.67,23.97,44.4,8.3,2020,2,9,0,6,Winter,1
2020-02-10,Dover,39.1582,-75.5244,13.51,59,Moderate,26.32,31.74,29.9,5.99,0.74,22.76,50.1,4.2,2020,2,10,0,0,Winter,0
2020-02-11,Dover,39.1582,-75.5244,15.85,64,Moderate,23.26,23.24,17.04,7.49,0.52,23.56,74.2,5.9,2020,2,11,0,1,Winter,0
2020-02-12,Dover,39.1582,-75.5244,11.11,55,Moderate,36.08,21.89,27.58,4.37,0.67,25.52,49.1,1.3,2020,2,12,0,2,Winter,0
2020-02-13,Dover,39.1582,-75.5244,13.9,60,Moderate,22.81,27.49,23.65,4.38,0.59,14.15,40.9,4.5,2020,2,13,0,3,Winter,0
2020-02-14,Dover,39.1582,-75.5244,15.37,63,Moderate,23.02,22.84,23.67,6.96,0.5,16.01,65.9,9.5,2020,2,14,0,4,Winter,0
2020-02-15,Dover,39.1582,-75.5244,16.51,65,Moderate,32.5,21.88,20.16,6.54,0.59,9.23,47.8,5.2,2020,2,15,0,5,Winter,1
2020-02-16,Dover,39.1582,-75.5244,13.43,59,Moderate,30.57,28.22,23.41,6.88,0.57,12.36,84.8,2.1,2020,2,16,0,6,Winter,1
2020-02-17,Dover,39.1582,-75.5244,8.76,49,Good,20.88,36.84,21.79,5.29,0.36,24.59,66.6,5.9,2020,2,17,0,0,Winter,0
2020-02-18,Dover,39.1582,-75.5244,15.11,62,Moderate,19.44,29.89,23.08,3.58,0.64,26.09,40.9,0.7,2020,2,18,0,1,Winter,0
2020-02-19,Dover,39.1582,-75.5244,12.57,57,Moderate,29.12,32.45,29.65,5.4,0.42,9.06,58.0,0.7,2020,2,19,0,2,Winter,0
2020-02-20,Dover,39.1582,-75.5244,9.16,51,Moderate,17.62,29.23,24.5,3.52,0.44,21.09,35.3,8.3,2020,2,20,0,3,Winter,0
2020-02-21,Dover,39.1582,-75.5244,10.88,54,Moderate,29.0,30.77,16.18,4.26,0.65,14.47,78.1,10.0,2020,2,21,0,4,Winter,0
2020-02-22,Dover,39.1582,-75.5244,17.23,66,Moderate,24.25,27.15,21.81,4.72,0.54,10.58,72.5,3.0,2020,2,22,0,5,Winter,1
2020-02-23,Dover,39.1582,-75.5244,9.98,53,Moderate,29.61,43.49,16.45,5.28,0.63,15.73,37.1,1.9,2020,2,23,0,6,Winter,1
2020-02-24,Dover,39.1582,-75.5244,16.02,64,Moderate,21.57,21.82,15.39,7.38,0.54,16.03,48.2,0.6,2020,2,24,0,0,Winter,0
2020-02-25,Dover,39.1582,-75.5244,11.01,55,Moderate,25.59,30.9,19.27,5.61,0.51,22.93,79.1,5.5,2020,2,25,0,1,Winter,0
2020-02-26,Dover,39.1582,-75.5244,14.95,62,Moderate,31.68,43.89,22.08,6.5,0.44,23.42,83.9,1.4,2020,2,26,0,2,Winter,0
2020-02-27,Dover,39.1582,-75.5244,14.1,60,Moderate,36.41,23.93,19.41,6.29,0.64,15.92,65.6,1.8,2020,2,27,0,3,Winter,0
2020-02-28,Dover,39.1582,-75.5244,14.58,61,Moderate,24.38,32.63,15.85,4.27,0.62,26.43,62.5,4.3,2020,2,28,0,4,Winter,0
2020-02-29,Dover,39.1582,-75.5244,9.07,51,Moderate,22.76,41.86,24.85,6.63,0.45,26.43,51.3,1.0,2020,2,29,0,5,Winter,1
2020-03-01,Dover,39.1582,-75.5244,18.33,68,Moderate,35.66,43.7,26.29,7.47,0.48,20.05,59.2,6.5,2020,3,1,0,6,Spring,1
2020-03-02,Dover,39.1582,-75.5244,12.53,57,Moderate,33.67,35.87,26.09,5.82,0.58,15.9,54.8,2.1,2020,3,2,0,0,Spring,0
2020-03-03,Dover,39.1582,-75.5244,13.36,59,Moderate,34.69,27.14,21.19,4.82,0.48,23.54,83.7,2.9,2020,3,3,0,1,Spring,0
2020-03-04,Dover,39.1582,-75.5244,17.87,67,Moderate,34.26,28.74,25.22,4.61,0.47,12.13,38.2,9.0,2020,3,4,0,2,Spring,0
2020-03-05,Dover,39.1582,-75.5244,16.47,65,Moderate,20.78,46.7,30.42,6.59,0.76,19.76,78.2,4.3,2020,3,5,0,3,Spring,0
2020-03-06,Dover,39.1582,-75.5244,18.67,69,Moderate,19.74,46.98,16.55,4.11,0.45,8.18,76.4,4.5,2020,3,6,0,4,Spring,0
2020-03-07,Dover,39.1582,-75.5244,15.87,64,Moderate,39.33,26.91,26.29,7.28,0.63,26.29,69.5,0.5,2020,3,7,0,5,Spring,1
2020-03-08,Dover,39.1582,-75.5244,13.99,60,Moderate,34.78,40.87,16.23,6.17,0.74,20.27,82.4,7.2,2020,3,8,0,6,Spring,1
2020-03-09,Dover,39.1582,-75.5244,17.8,67,Moderate,24.52,33.42,19.51,4.81,0.51,16.82,57.2,3.7,2020,3,9,0,0,Spring,0
2020-03-10,Dover,39.1582,-75.5244,14.42,61,Moderate,38.91,35.54,31.39,6.94,0.69,22.01,53.6,8.8,2020,3,10,0,1,Spring,0
2020-03-11,Dover,39.1582,-75.5244,12.87,58,Moderate,22.52,35.07,27.94,5.58,0.65,8.71,33.9,9.2,2020,3,11,0,2,Spring,0
2020-03-12,Dover,39.1582,-75.5244,16.92,66,Moderate,38.0,39.23,20.32,4.94,0.46,25.36,60.6,2.6,2020,3,12,0,3,Spring,0
2020-03-13,Dover,39.1582,-75.5244,17.05,66,Moderate,30.53,41.74,19.25,5.47,0.48,25.76,60.2,7.0,2020,3,13,0,4,Spring,0
2020-03-14,Dover,39.1582,-75.5244,15.44,63,Moderate,37.2,35.63,26.41,4.73,0.62,18.82,71.8,5.3,2020,3,14,0,5,Spring,1
2020-03-15,Dover,39.1582,-75.5244,11.22,55,Moderate,19.54,35.84,29.12,5.08,0.53,27.53,41.1,9.8,2020,3,15,0,6,Spring,1
2020-03-16,Dover,39.1582,-75.5244,9.85,52,Moderate,33.54,31.22,23.75,5.74,0.66,22.16,44.5,3.1,2020,3,16,0,0,Spring,0
2020-03-17,Dover,39.1582,-75.5244,17.05,66,Moderate,35.33,43.03,21.49,5.48,0.64,15.92,41.0,7.9,2020,3,17,0,1,Spring,0
2020-03-18,Dover,39.1582,-75.5244,10.33,53,Moderate,23.56,36.07,24.96,5.34,0.65,20.67,34.9,1.2,2020,3,18,0,2,Spring,0
2020-03-19,Dover,39.1582,-75.5244,17.29,66,Moderate,37.51,29.94,19.13,4.25,0.74,16.32,87.5,3.9,2020,3,19,0,3,Spring,0
2020-03-20,Dover,39.1582,-75.5244,10.53,54,Moderate,27.8,31.47,15.54,6.92,0.4,25.88,60.0,5.0,2020,3,20,0,4,Spring,0
2020-03-21,Dover,39.1582,-75.5244,11.38,55,Moderate,22.21,46.39,29.58,6.83,0.66,17.99,88.6,3.8,2020,3,21,0,5,Spring,1
2020-03-22,Dover,39.1582,-75.5244,11.67,56,Moderate,24.5,37.34,28.79,5.7,0.47,15.81,37.0,2.1,2020,3,22,0,6,Spring,1
2020-03-23,Dover,39.1582,-75.5244,18.7,69,Moderate,27.1,24.06,17.11,7.32,0.6,20.95,85.6,2.7,2020,3,23,0,0,Spring,0
2020-03-24,Dover,39.1582,-75.5244,12.5,57,Moderate,37.46,41.03,26.26,7.18,0.48,16.37,51.7,5.6,2020,3,24,0,1,Spring,0
2020-03-25,Dover,39.1582,-75.5244,11.7,56,Moderate,24.26,40.77,27.43,7.84,0.43,15.16,47.6,1.0,2020,3,25,0,2,Spring,0
2020-03-26,Dover,39.1582,-75.5244,9.14,51,Moderate,20.33,36.17,25.49,4.37,0.77,25.37,32.1,5.8,2020,3,26,0,3,Spring,0
2020-03-27,Dover,39.1582,-75.5244,17.47,67,Moderate,37.59,35.74,23.98,4.3,0.63,8.73,85.9,7.6,2020,3,27,0,4,Spring,0
2020-03-28,Dover,39.1582,-75.5244,16.24,64,Moderate,38.96,45.03,27.19,4.2,0.77,25.35,45.2,6.8,2020,3,28,0,5,Spring,1
2020-03-29,Dover,39.1582,-75.5244,11.26,55,Moderate,27.12,39.13,22.38,4.68,0.68,25.25,45.3,9.0,2020,3,29,0,6,Spring,1
2020-03-30,Dover,39.1582,-75.5244,17.0,66,Moderate,35.2,35.2,23.06,5.65,0.55,7.83,69.9,9.8,2020,3,30,0,0,Spring,0
2020-03-31,Dover,39.1582,-75.5244,18.51,69,Moderate,33.04,39.9,18.11,6.07,0.79,27.38,82.6,8.9,2020,3,31,0,1,Spring,0
2020-04-01,Dover,39.1582,-75.5244,19.1,70,Moderate,32.01,27.95,24.33,7.68,0.6,14.67,86.0,1.6,2020,4,1,0,2,Spring,0
2020-04-02,Dover,39.1582,-75.5244,14.26,61,Moderate,32.89,24.36,25.37,5.79,0.6,10.82,87.4,6.3,2020,4,2,0,3,Spring,0
2020-04-03,Dover,39.1582,-75.5244,16.24,64,Moderate,25.37,31.08,23.99,7.37,0.63,20.44,61.6,2.3,2020,4,3,0,4,Spring,0
2020-04-04,Dover,39.1582,-75.5244,11.66,56,Moderate,24.82,26.2,30.13,6.78,0.49,26.32,57.3,6.8,2020,4,4,0,5,Spring,1
2020-04-05,Dover,39.1582,-75.5244,10.43,53,Moderate,39.78,39.94,27.62,4.8,0.44,23.56,64.9,1.7,2020,4,5,0,6,Spring,1
2020-04-06,Dover,39.1582,-75.5244,12.72,58,Moderate,20.36,27.94,26.38,4.99,0.48,13.34,57.8,4.9,2020,4,6,0,0,Spring,0
2020-04-07,Dover,39.1582,-75.5244,13.32,59,Moderate,22.59,30.47,18.69,5.33,0.46,18.24,77.7,5.0,2020,4,7,0,1,Spring,0
2020-04-08,Dover,39.1582,-75.5244,11.58,56,Moderate,28.12,24.41,21.2,7.71,0.47,26.43,49.4,5.3,2020,4,8,0,2,Spring,0
2020-04-09,Dover,39.1582,-75.5244,13.52,59,Moderate,25.42,42.48,27.03,6.55,0.57,26.28,58.2,7.5,2020,4,9,0,3,Spring,0
2020-04-10,Dover,39.1582,-75.5244,12.69,58,Moderate,28.14,40.75,28.06,7.32,0.42,8.77,52.6,7.0,2020,4,10,0,4,Spring,0
2020-04-11,Dover,39.1582,-75.5244,11.9,56,Moderate,30.8,41.35,27.32,5.59,0.62,22.03,53.7,2.8,2020,4,11,0,5,Spring,1
2020-04-12,Dover,39.1582,-75.5244,18.36,68,Moderate,28.18,47.98,16.35,7.58,0.58,13.09,44.2,3.5,2020,4,12,0,6,Spring,1
2020-04-13,Dover,39.1582,-75.5244,18.88,69,Moderate,28.7,47.55,18.04,7.87,0.68,15.49,45.5,10.0,2020,4,13,0,0,Spring,0
2020-04-14,Dover,39.1582,-75.5244,13.7,60,Moderate,29.02,35.73,23.97,4.54,0.71,17.21,81.9,2.6,2020,4,14,0,1,Spring,0
2020-04-15,Dover,39.1582,-75.5244,18.96,69,Moderate,24.2,46.25,30.85,5.99,0.51,9.78,71.0,6.4,2020,4,15,0,2,Spring,0
2020-04-16,Dover,39.1582,-75.5244,9.68,52,Moderate,34.91,31.15,22.68,7.3,0.68,14.09,43.4,5.2,2020,4,16,0,3,Spring,0
2020-04-17,Dover,39.1582,-75.5244,11.62,56,Moderate,35.15,28.81,22.66,7.54,0.76,13.22,64.6,3.3,2020,4,17,0,4,Spring,0
2020-04-18,Dover,39.1582,-75.5244,19.32,70,Moderate,33.8,44.3,18.49,5.89,0.58,19.49,47.0,0.9,2020,4,18,0,5,Spring,1
2020-04-19,Dover,39.1582,-75.5244,17.2,66,Moderate,38.65,43.61,28.9,4.6,0.78,25.71,75.0,3.2,2020,4,19,0,6,Spring,1
2020-04-20,Dover,39.1582,-75.5244,16.62,65,Moderate,28.27,27.96,19.17,5.47,0.45,9.56,61.3,9.7,2020,4,20,0,0,Spring,0
2020-04-21,Dover,39.1582,-75.5244,19.17,70,Moderate,39.08,31.43,19.61,7.48,0.59,22.97,46.2,8.1,2020,4,21,0,1,Spring,0
2020-04-22,Dover,39.1582,-75.5244,17.86,67,Moderate,21.28,29.19,24.4,5.37,0.51,9.15,73.4,8.2,2020,4,22,0,2,Spring,0
2020-04-23,Dover,39.1582,-75.5244,10.81,54,Moderate,30.38,26.9,23.4,5.77,0.46,18.48,64.6,4.9,2020,4,23,0,3,Spring,0
2020-04-24,Dover,39.1582,-75.5244,17.67,67,Moderate,21.57,31.07,25.9,5.66,0.62,14.43,80.0,8.2,2020,4,24,0,4,Spring,0
2020-04-25,Dover,39.1582,-75.5244,18.72,69,Moderate,27.97,31.07,24.91,6.64,0.43,10.27,58.2,2.4,2020,4,25,0,5,Spring,1
2020-04-26,Dover,39.1582,-75.5244,9.66,52,Moderate,32.63,28.19,25.98,5.21,0.58,8.59,76.7,7.9,2020,4,26,0,6,Spring,1
2020-04-27,Dover,39.1582,-75.5244,12.48,57,Moderate,37.73,37.65,29.13,4.52,0.62,13.02,31.6,8.0,2020,4,27,0,0,Spring,0
2020-04-28,Dover,39.1582,-75.5244,11.22,55,Moderate,29.05,34.75,26.59,7.63,0.65,13.39,36.8,2.5,2020,4,28,0,1,Spring,0
2020-04-29,Dover,39.1582,-75.5244,18.59,69,Moderate,33.69,30.34,27.86,4.7,0.73,27.58,60.1,6.8,2020,4,29,0,2,Spring,0
2020-04-30,Dover,39.1582,-75.5244,13.19,59,Moderate,31.13,39.59,18.52,4.93,0.69,19.19,62.6,8.3,2020,4,30,0,3,Spring,0
2020-05-01,Dover,39.1582,-75.5244,11.98,56,Moderate,30.95,34.07,29.34,5.68,0.45,21.31,44.7,1.6,2020,5,1,0,4,Spring,0
2020-05-02,Dover,39.1582,-75.5244,16.2,64,Moderate,35.15,43.55,27.94,5.81,0.54,8.53,49.5,1.2,2020,5,2,0,5,Spring,1
2020-05-03,Dover,39.1582,-75.5244,12.48,57,Moderate,20.17,41.27,26.11,5.18,0.62,11.04,88.6,2.9,2020,5,3,0,6,Spring,1
2020-05-04,Dover,39.1582,-75.5244,15.34,63,Moderate,32.76,46.42,20.7,5.52,0.42,7.61,64.1,3.9,2020,5,4,0,0,Spring,0
2020-05-05,Dover,39.1582,-75.5244,18.78,69,Moderate,31.72,38.9,28.29,7.19,0.69,15.46,42.9,9.1,2020,5,5,0,1,Spring,0
2020-05-06,Dover,39.1582,-75.5244,13.59,59,Moderate,30.22,37.8,20.69,5.24,0.71,25.63,82.5,0.8,2020,5,6,0,2,Spring,0
2020-05-07,Dover,39.1582,-75.5244,18.36,68,Moderate,35.66,44.15,21.32,6.04,0.49,25.22,48.9,8.3,2020,5,7,0,3,Spring,0
2020-05-08,Dover,39.1582,-75.5244,15.41,63,Moderate,33.65,30.63,25.17,5.41,0.68,14.65,67.2,8.3,2020,5,8,0,4,Spring,0
2020-05-09,Dover,39.1582,-75.5244,12.08,57,Moderate,32.63,25.24,15.82,4.08,0.6,23.17,84.3,1.6,2020,5,9,0,5,Spring,1
2020-05-10,Dover,39.1582,-75.5244,14.39,61,Moderate,31.59,41.43,30.66,6.86,0.78,25.52,67.6,3.8,2020,5,10,0,6,Spring,1
2020-05-11,Dover,39.1582,-75.5244,17.09,66,Moderate,24.35,29.66,19.1,6.94,0.7,23.4,48.9,3.6,2020,5,11,0,0,Spring,0
2020-05-12,Dover,39.1582,-75.5244,15.02,62,Moderate,34.38,45.47,28.62,4.26,0.67,20.69,33.6,0.6,2020,5,12,0,1,Spring,0
2020-05-13,Dover,39.1582,-75.5244,12.87,58,Moderate,33.9,43.64,28.94,4.1,0.54,8.96,40.4,5.4,2020,5,13,0,2,Spring,0
2020-05-14,Dover,39.1582,-75.5244,12.54,57,Moderate,23.15,38.66,18.59,5.97,0.52,26.78,71.1,0.8,2020,5,14,0,3,Spring,0
2020-05-15,Dover,39.1582,-75.5244,18.92,69,Moderate,31.59,34.86,17.82,5.39,0.5,19.82,87.3,1.6,2020,5,15,0,4,Spring,0
2020-05-16,Dover,39.1582,-75.5244,17.33,66,Moderate,23.76,41.83,18.3,6.13,0.61,9.27,65.3,7.2,2020,5,16,0,5,Spring,1
2020-05-17,Dover,39.1582,-75.5244,14.44,61,Moderate,28.73,38.58,29.54,6.41,0.55,21.53,63.5,6.5,2020,5,17,0,6,Spring,1
2020-05-18,Dover,39.1582,-75.5244,11.04,55,Moderate,25.59,28.1,28.24,5.79,0.54,8.72,50.0,4.1,2020,5,18,0,0,Spring,0
2020-05-19,Dover,39.1582,-75.5244,16.71,65,Moderate,33.37,28.39,18.96,5.75,0.51,23.94,88.4,2.0,2020,5,19,0,1,Spring,0
2020-05-20,Dover,39.1582,-75.5244,10.66,54,Moderate,32.31,34.78,16.38,7.83,0.47,24.29,60.5,4.9,2020,5,20,0,2,Spring,0
2020-05-21,Dover,39.1582,-75.5244,17.6,67,Moderate,30.47,24.35,16.5,5.52,0.54,20.39,64.0,2.4,2020,5,21,0,3,Spring,0
2020-05-22,Dover,39.1582,-75.5244,15.74,63,Moderate,38.89,46.55,20.47,5.34,0.47,13.61,55.9,0.9,2020,5,22,0,4,Spring,0
2020-05-23,Dover,39.1582,-75.5244,15.17,62,Moderate,30.83,36.6,27.93,6.67,0.73,20.04,33.0,9.9,2020,5,23,0,5,Spring,1
2020-05-24,Dover,39.1582,-75.5244,12.12,57,Moderate,31.33,32.3,30.95,4.62,0.44,17.63,59.5,0.8,2020,5,24,0,6,Spring,1
2020-05-25,Dover,39.1582,-75.5244,18.16,68,Moderate,32.03,39.78,23.52,6.44,0.41,19.4,58.3,9.9,2020,5,25,0,0,Spring,0
2020-05-26,Dover,39.1582,-75.5244,16.56,65,Moderate,21.54,28.75,19.6,5.01,0.54,26.77,43.1,8.7,2020,5,26,0,1,Spring,0
2020-05-27,Dover,39.1582,-75.5244,9.17,51,Moderate,39.14,27.65,22.46,5.6,0.68,16.13,85.8,6.5,2020,5,27,0,2,Spring,0
2020-05-28,Dover,39.1582,-75.5244,17.77,67,Moderate,26.84,27.42,16.99,7.73,0.46,12.0,78.7,1.6,2020,5,28,0,3,Spring,0
2020-05-29,Dover,39.1582,-75.5244,16.65,65,Moderate,26.08,35.07,24.56,7.48,0.71,14.63,61.3,5.5,2020,5,29,0,4,Spring,0
2020-05-30,Dover,39.1582,-75.5244,12.7,58,Moderate,26.82,45.11,18.9,7.8,0.65,24.4,54.2,6.5,2020,5,30,0,5,Spring,1
2020-05-31,Dover,39.1582,-75.5244,14.01,60,Moderate,38.96,40.79,28.45,7.57,0.79,13.6,42.4,6.3,2020,5,31,0,6,Spring,1
2020-06-01,Dover,39.1582,-75.5244,17.0,66,Moderate,30.31,31.88,17.76,5.98,0.39,25.4,86.6,5.8,2020,6,1,0,0,Summer,0
2020-06-02,Dover,39.1582,-75.5244,8.56,48,Good,32.98,38.3,27.24,4.85,0.58,7.99,81.4,8.8,2020,6,2,0,1,Summer,0
2020-06-03,Dover,39.1582,-75.5244,15.42,63,Moderate,32.83,21.92,24.51,6.32,0.48,11.75,82.1,6.5,2020,6,3,0,2,Summer,0
2020-06-04,Dover,39.1582,-75.5244,13.08,58,Moderate,27.62,27.38,18.42,4.02,0.43,14.92,37.5,6.4,2020,6,4,0,3,Summer,0
2020-06-05,Dover,39.1582,-75.5244,8.3,46,Good,22.63,27.23,28.69,5.25,0.75,12.12,38.9,9.5,2020,6,5,0,4,Summer,0
2020-06-06,Dover,39.1582,-75.5244,10.65,54,Moderate,30.01,43.43,21.17,4.64,0.51,22.19,31.6,3.5,2020,6,6,0,5,Summer,1
2020-06-07,Dover,39.1582,-75.5244,8.72,48,Good,34.63,43.03,14.52,7.15,0.73,17.78,49.6,0.9,2020,6,7,0,6,Summer,1
2020-06-08,Dover,39.1582,-75.5244,14.64,61,Moderate,22.16,26.52,17.13,3.97,0.61,20.9,80.4,6.5,2020,6,8,0,0,Summer,0
2020-06-09,Dover,39.1582,-75.5244,16.55,65,Moderate,21.91,26.38,26.44,4.37,0.5,13.33,78.2,2.1,2020,6,9,0,1,Summer,0
2020-06-10,Dover,39.1582,-75.5244,17.77,67,Moderate,26.1,36.75,21.39,6.45,0.5,15.26,52.7,8.6,2020,6,10,0,2,Summer,0
2020-06-11,Dover,39.1582,-75.5244,14.2,61,Moderate,22.09,42.12,27.44,5.46,0.51,10.2,73.3,7.2,2020,6,11,0,3,Summer,0
2020-06-12,Dover,39.1582,-75.5244,17.67,67,Moderate,31.9,43.29,25.99,4.94,0.35,7.31,41.2,8.5,2020,6,12,0,4,Summer,0
2020-06-13,Dover,39.1582,-75.5244,12.86,58,Moderate,21.3,27.19,15.98,7.35,0.64,10.77,57.0,8.7,2020,6,13,0,5,Summer,1
2020-06-14,Dover,39.1582,-75.5244,9.74,52,Moderate,31.07,41.83,22.57,3.58,0.52,20.56,68.6,7.5,2020,6,14,0,6,Summer,1
2020-06-15,Dover,39.1582,-75.5244,14.55,61,Moderate,36.14,43.51,16.8,5.35,0.4,17.11,34.2,9.0,2020,6,15,0,0,Summer,0
2020-06-16,Dover,39.1582,-75.5244,9.72,52,Moderate,32.57,44.67,29.29,3.76,0.74,12.07,59.8,1.0,2020,6,16,0,1,Summer,0
2020-06-17,Dover,39.1582,-75.5244,17.81,67,Moderate,27.23,32.23,21.85,3.96,0.62,25.62,66.3,2.3,2020,6,17,0,2,Summer,0
